,business_id,name,latitude,longitude,pos
0,-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,53.518487,-113.493183,0.88229287
1,-2Rr5lt1yC5o-Lo3SAIFNQ,Shafi Tandoori Grill & Bakery,53.4671923,-113.4746134,0.46141148
2,-2oyyfOSHs1UElr3Dc1aKQ,Highlands Kitchen,53.5646777,-113.4381547,0.8782845
3,-3GD07waps96fB_okEwFqw,Brits Fish & Chips,53.5065155227,-113.445661068,0.689972
4,-4lNMmoW7gRxkH0c2dfXfA,Ripe Tomato,53.5183696,-113.4969888,0.78359985
5,-4qgeqxb2hKe3dUUH__j8Q,T&T Supermarket,53.5235271995,-113.6239112789,0.64117056
6,-5ivHc7R7F_fHxTtxGvlgA,Mt Fuji Teppanyaki,53.600886,-113.495432,0.6367612
7,-9sGD5Fi-DVwR6BsBAtu0w,Little Caesars Pizza,53.6147072,-113.5143648,0.22597542
8,-A5MmVqvwTjGjgYzZBbqIw,Hazeldean Bakery,53.502595,-113.477654,0.91046816
9,-DlF6neBa1HKx7aFi3ZxOg,Reinette Cafe & Patisserie,53.4677492195,-113.4313082576,0.9165091
10,-HPQAylabtzueY4Hxm2NSA,Humpty's Family Restaurant,53.4833046,-113.4909768,0.47231346
11,-IQsXtexaUmIfSBkhBZrKQ,Chop Steakhouse & Bar,53.423937,-113.490861,0.706102
12,-L3E_h6OUJ7kRW2EDMFESQ,Dairy Queen Grill & Chill,53.4361634086,-113.615436852,0.2847127
13,-MwKwvY0gG3GyR5ymxsLNQ,The Tea Place,53.5019798266,-113.6282828714,0.8322495
14,-RS_7SU42foCTItx4f3C6A,Subway,53.5214101,-113.5203104,0.55103743
15,-SEIjzWcRg49Eloagyqywg,reLiSH Gourmet Burgers,53.5511668,-113.5361046,0.85728896
16,-SQnHz6BmXHUlFWzBvH3bA,Handy Bakery,53.570707,-113.474197,0.81551087
17,-XFGy2lcs0EVEZWZEYLi6g,OPA! of Greece Southgate Centre,53.4839288978,-113.5114805995,0.8373853
18,-XqH9MW831JOtqsJsrHEdw,Burrito Libre,53.521766,-113.520173,0.47907656
19,-bi-PRIZg0ercEOnUcuiHw,Punjab Sweets & Restaurant,53.4659608,-113.4769915,0.71531457
20,-eAmwxqpedMfAHREjJzQLQ,An Chay,53.5406978057,-113.5143306152,0.94043493
21,-f8QKVohiabJggZgGE9ajg,Shoppers Drug Mart,53.5432787,-113.4943022,0.5583109
22,-iOgafQZPQAiLJZwegPseQ,Montana's BBQ & Bar,53.4762119,-113.494882,0.20941919
23,-i_Q3Zo1SxqoQu75T9nNjw,Denizen Hall,53.5444649,-113.4976518,0.7652416
24,-j81uJ1--lpT0wWDxpSUPQ,Paraiso Tropical,53.5704952,-113.4823394,0.87154293
25,-m61E8nXbk_FI4B9Wg118A,European Market and Produce,53.502139,-113.6268749,0.9696537
26,-m_fl--6j4DFv1RlOtuL1g,Sukhothai Restaurant,53.5458296,-113.520614,0.49782312
27,-mhDGGy1PgKLDZJZHQZsHg,Swiss 2 GO,53.5702749,-113.4138392,0.94376826
