,review_id,neg,neu,pos,business_id,name,latitude,longitude,text,stars_y
0,1eUumuCWVsC1xCZ3aNmxDg,0.60886854,0.29550382,0.09562764,YEDOg0lFYS_H_faTERHgUg,Creations Dining Room & Lounge,53.478768,-113.4912,"Went to Creations for Sunday brunch and was really disappointed. First we stood at the entrance for 10 minutes before anyone appeared and offered to show us to a table. The food selection was decent, but the orange and apple juice were both empty. There were waffles and fruit but no whipped cream. They also charge for coffee above the cost of the buffet, and were very slow to offer refills. There are much better places for brunch.",2
1,lp65gyRxFcmgU0Mb0SxoXg,0.0024585573,0.021210963,0.97633046,8EUFMy8voKp1_XzqeOFs_g,ACME Meat Market,53.51263,-113.476381,"Great selection of meats, and impressed with the variety of cuts they have. I was needing veal shank to make osso buco, and luckily, they knew the cuts I needed. Also, very helpful staff, and the prices are reasonable. Plus, they have grass fed meat and it supports the local farmers. Definitely continue shopping here for my meats!",5
2,kPw4T0CSkuhRUvDcivupyA,0.79308885,0.17968819,0.027222976,1zqsGhxOCs4rtGasfBUbuA,Harvey's,53.4680923,-113.4951244,"Very slow drove thru service. 8 1/2 minutes to get 2 pops, onion rings and poutine. And the onion rings were cold!",1
3,eTkSzE33xAWHeSTgsIKgOg,0.036424894,0.15693645,0.8066386,Esf3-D_44pArPd9GqysoCg,Duchess Bake Shop,53.5515468,-113.5361687,"When is this place not BUSY?!?!  Well when you are on the list on Buzzfeed as one of 23 Bakeries Around the World You Need to Eat at Before You Die, I get the traffic problem. It's usually hard to find a seat in here as it's always bustling.  

I was in here to pick dessert for date night as a thank you to the beau for cooking me dinner. I picked up the Mon Chéri Verrine which was packaged in a cute glass jar with chocolate espresso crémeux, hazelnut financier, cherry gelée, cocoa nibs, and candied hazelnuts.

I also got a little greedy and also decided to pick up the Mont Blanc Macaron Gateau cause who can say no to a macaron cookie top and bottom filled with chestnut cognac cream, chantilly and toasted almond buttercream? Let's be serious here! Well date night was 2 thumbs up and this was a perfect way to top the evening. Love you Duchess!",5
4,z6G34lHJWyD52YOvJFslSA,0.81888074,0.14457422,0.036545023,GYgJtmk1v06FJesYYjrDww,Central Social Hall,53.5409194531,-113.5083389282,"Central Social is good for dancing, but come early or you will have to wait in line. Unfortunately, the bouncers are rude and power hungry. They treat men poorly and don't know how to manage a line properly. 

Other than that, the music is typically pretty good on a Friday or Saturday night. 

Food wise: They don't have many choices for gluten free vegetarians besides a crappy garden salad. Plus, they don't use gluten free corn chips on the nachos! Why not?!",2
5,Rg7It6evAgqdRaf8fBdntw,0.88148165,0.09260261,0.025915537,dcpWZ6Yk_S0HqTlNBi8jiA,The Woodrack Cafe,53.5124378,-113.5120394,"Well that was disappointing. Loved the decor and seeing their beautiful kitchen area, we expected great things. Ordered the chicken bacon ciabbata sandwich. The bacon was cold and congealed, the lettuce soggy, and bit into something nasty which turned out to be a radish root. Ew. And the staff shrugged it off like it was no big deal. A few bagged potato chips on the side. $9.50  Not impressed. Won't be back.",1
6,eWhQxm9AXvSN5ZZDoCpzIw,0.01607091,0.0528192,0.93110985,s8KNTkHGjMnzx5zcnWBbwQ,Famoso,53.598225,-113.573125,"I've had the super awesome pizza here so many times that I figured I would try one of their fire bread sandwiches and it was amazing. Honestly it was basically like if you took one of their pizzas and folded it in half since it seems to be the same bread as the pizza crust and all the toppings are pretty much the same. Anyways, definitely try it out. The only downside is that the sandwiches aren't really enough to be a meal on their own so maybe order an appetizer/salad.",5
7,JWKDUylvYgD2bih_avb5oA,0.0048703253,0.03586813,0.95926166,w-O9TAg-7KH038ueOoi5WA,Seorak Teppan & Bar,53.5183542,-113.5106183,"As a brand spanking new restaurant, there are a lot things that I liked about Seorrak. Walking into the restaurant I was impressed with the clean, modern decor. Despite the upscale feel to the restaurant, their dishes are surprisingly affordable. The trendy staff were also kind and helpful which made the experience comfortable. They were able to accommodate a group of 9 of us including a baby, although space was a bit tight. At the end of the night they even split the bill for us which was a pretty complicated matter.

Aesthetically, everything was great and wine bottles were half off that night!!! Korean blackberry wine is SOOO DELICIOUS, and the flavour is fruity but not too similar to fresh blackberries and not overly sweet like other port wines. I could drink it up like juice. 

The food presentation was nice, and I really enjoyed the Kalbi bites. I also tried the beef tataki, rice pops (both spicy and honey garlic), kimchi fried rice, osaka okonomiyaki, and bulgogi stew. Although flavour-wise everything was pretty good, having experienced a lot of Korean cuisine, I think things could have been better. For example, the beef tataki was on the chewier side and the honey garlic rice pops, although delicious in flavour, was a tad too salty for me. Some of the other dishes could ramp up flavour intensity a bit. They are a new restaurant so I'm sure given time things will become more refined. However, all said and done, the food is still pretty tasty. Their desserts topped up the evening nicely. The Snowbowl (literally tastes like yummy flavoured snow in a bowl) and Hotteok (yummy Korean crispy pancake topped with whipping cream) were unique experiences for me!",4
8,jn0I_KJSHI9JFIT5URegAQ,0.0028104368,0.02195369,0.9752359,6FPr7wbkqnRlRmFVniwmHg,The Common,53.5375855,-113.5087061,"I would give this place 3.5 stars if it was an option.
I walked into the restaurant and the guy at the door told me to walk back down the sidewalk and enter in the other door on the left side of the patio. I walked in and I think on weekends it must be a bar atmosphere since they scan your ID at the door. I went to pickup my takeout order which was right at the counter to where I originally walked in 2 minutes before... smh. Anyways!! I ordered the beef stroganoff which was pretty delicious. I would recommend eating that dish in-house as the panko egg gets soggy when taken to-go. There was a lot of food in this dish, the sauce was tasty and they are generous on the beef. The pannalova was delicious!!",3
9,hkkfcA0ivFxeJCF-lJSg_g,0.0012848858,0.007335571,0.99137944,56p80CBDCpnS2t9cU9nZNQ,Northern Chicken,53.551142,-113.5363825,"Fried Chicken sandwich with beans is great, along with the mac and cheese. The Buttermilk pie alone is worth a trip here. Keep up the awesome work!",5
10,2HNJWFVgk77bk_YZ55x38w,0.0016102621,0.0053171576,0.99307275,fMfHMH-8-uv0boVFlwjk-w,Jumbo Donair,53.48111,-113.444268,One of the best donair shops in Edmonton! It has become one of my favorites this past year! The meat is delicious and the veggies are always fresh! And they let you sample the meat before you buy which is awesome! They have great customer service as well!!! I highly recommend going here if you love donairs!,5
11,3KXtVcxfVD9E0SV7n-n6mw,0.0012045581,0.013671168,0.9851243,bSiDa26a7NN0zIT3XI9GRw,Saffron Indian Cuisine,53.4297095,-113.4789487,Hands down the best Golgappe (Pani Puri) and Tikki in the town. Other dishes are good too. But I mostly visit for the above mentioned. Good service. Clean and friendly environment. Thumbs up!,5
